Dog
Cat
Cow
Pig
Horse
Sheep
Goat
Chicken
Turkey
Duck
Goose
Rabbit
Hamster
Guinea pig
Rat
Mouse
Elephant
Giraffe
Lion
Tiger
Cheetah
Leopard
Bear
Wolf
Fox
Deer
Moose
Antelope
Rhinoceros
Hippopotamus
Gorilla
Chimpanzee
Orangutan
Koala
Kangaroo
Platypus
Crocodile
Alligator
Turtle
Snake
Lizard
Frog
Toad
Fish
Shark
Dolphin
Whale
Penguin
Otter
Seal
